_measurement,tag_1,tag_2,_time,field_11,field_12,field_13,field_21,field_22
measurement_1,tag_11,tag_22,2025-06-01T00:00:00.000Z,516.844,7913.0,mqamgxwukx,,
measurement_2,tag_13,tag_22,2025-06-01T00:01:00.000Z,,,,480.203,False
measurement_1,tag_12,tag_21,2025-06-01T00:02:00.000Z,887.394,8544.0,qsookao,,
measurement_1,tag_11,tag_22,2025-06-01T00:03:00.000Z,117.346,5195.0,reuvw,,
measurement_2,tag_12,tag_22,2025-06-01T00:04:00.000Z,,,,518.827,True
measurement_2,tag_13,tag_22,2025-06-01T00:05:00.000Z,,,,890.817,False
measurement_2,tag_12,tag_21,2025-06-01T00:06:00.000Z,,,,679.599,True
measurement_1,tag_13,tag_22,2025-06-01T00:07:00.000Z,901.711,2775.0,rezndq,,
measurement_1,tag_11,tag_21,2025-06-01T00:08:00.000Z,377.284,7848.0,bbmwfbl,,
measurement_2,tag_12,tag_22,2025-06-01T00:09:00.000Z,,,,360.159,True
measurement_2,tag_12,tag_22,2025-06-01T00:10:00.000Z,,,,518.824,False
measurement_2,tag_11,tag_22,2025-06-01T00:11:00.000Z,,,,60.54,False
measurement_2,tag_12,tag_21,2025-06-01T00:12:00.000Z,,,,125.56,True
measurement_2,tag_12,tag_22,2025-06-01T00:13:00.000Z,,,,999.258,False
measurement_1,tag_13,tag_21,2025-06-01T00:14:00.000Z,455.198,5913.0,gnlkuh,,
measurement_2,tag_11,tag_21,2025-06-01T00:15:00.000Z,,,,992.826,False
measurement_1,tag_11,tag_22,2025-06-01T00:16:00.000Z,559.028,8105.0,vlhsdlmgqm,,
measurement_1,tag_12,tag_22,2025-06-01T00:17:00.000Z,590.212,5321.0,updlbxsfne,,
measurement_2,tag_11,tag_22,2025-06-01T00:18:00.000Z,,,,940.213,True
measurement_2,tag_11,tag_21,2025-06-01T00:19:00.000Z,,,,659.8,False
measurement_1,tag_13,tag_21,2025-06-01T00:20:00.000Z,253.822,2591.0,qxaxfzfk,,
measurement_2,tag_11,tag_21,2025-06-01T00:21:00.000Z,,,,190.637,True
measurement_1,tag_12,tag_21,2025-06-01T00:22:00.000Z,584.662,1491.0,qkrtrnqg,,
measurement_1,tag_12,tag_22,2025-06-01T00:23:00.000Z,104.517,3911.0,elpywly,,
measurement_2,tag_13,tag_21,2025-06-01T00:24:00.000Z,,,,475.141,False
measurement_1,tag_11,tag_21,2025-06-01T00:25:00.000Z,402.41,6509.0,gjqvgitflv,,
measurement_2,tag_12,tag_22,2025-06-01T00:26:00.000Z,,,,152.399,False
measurement_2,tag_11,tag_22,2025-06-01T00:27:00.000Z,,,,693.515,True
measurement_2,tag_11,tag_21,2025-06-01T00:28:00.000Z,,,,914.758,True
measurement_2,tag_13,tag_22,2025-06-01T00:29:00.000Z,,,,436.11,True
measurement_2,tag_11,tag_21,2025-06-01T00:30:00.000Z,,,,126.62,True
measurement_2,tag_12,tag_21,2025-06-01T00:31:00.000Z,,,,913.186,False
measurement_2,tag_13,tag_22,2025-06-01T00:32:00.000Z,,,,563.404,False
measurement_2,tag_11,tag_22,2025-06-01T00:33:00.000Z,,,,558.079,False
measurement_2,tag_11,tag_21,2025-06-01T00:34:00.000Z,,,,90.718,True
measurement_2,tag_11,tag_22,2025-06-01T00:35:00.000Z,,,,811.887,True
measurement_2,tag_12,tag_21,2025-06-01T00:36:00.000Z,,,,545.636,False
measurement_1,tag_13,tag_21,2025-06-01T00:37:00.000Z,959.398,7048.0,shyicgnyw,,
measurement_1,tag_11,tag_21,2025-06-01T00:38:00.000Z,788.315,663.0,ofmiakude,,
measurement_2,tag_13,tag_22,2025-06-01T00:39:00.000Z,,,,180.253,True
measurement_2,tag_13,tag_22,2025-06-01T00:40:00.000Z,,,,591.133,False
measurement_1,tag_12,tag_21,2025-06-01T00:41:00.000Z,802.439,4339.0,rsoelfkv,,
measurement_2,tag_12,tag_22,2025-06-01T00:42:00.000Z,,,,72.353,False
measurement_2,tag_11,tag_21,2025-06-01T00:43:00.000Z,,,,237.793,False
measurement_1,tag_11,tag_21,2025-06-01T00:44:00.000Z,491.415,5916.0,ocrii,,
measurement_2,tag_13,tag_22,2025-06-01T00:45:00.000Z,,,,4.832,False
measurement_1,tag_13,tag_22,2025-06-01T00:46:00.000Z,162.57,1028.0,hdmmixvyvc,,
measurement_1,tag_13,tag_22,2025-06-01T00:47:00.000Z,334.608,9736.0,crhltxbhpt,,
measurement_1,tag_12,tag_22,2025-06-01T00:48:00.000Z,174.911,8718.0,llzhzonom,,
measurement_1,tag_11,tag_22,2025-06-01T00:49:00.000Z,908.121,8287.0,yoejem,,
measurement_1,tag_13,tag_22,2025-06-01T00:50:00.000Z,329.863,3945.0,qdojazar,,
measurement_1,tag_11,tag_21,2025-06-01T00:51:00.000Z,493.3,5154.0,rcygsxtxdt,,
measurement_1,tag_13,tag_22,2025-06-01T00:52:00.000Z,509.193,7433.0,zreal,,
measurement_1,tag_11,tag_22,2025-06-01T00:53:00.000Z,238.2,1393.0,zglemazzo,,
measurement_1,tag_12,tag_22,2025-06-01T00:54:00.000Z,740.476,6830.0,guqptr,,
measurement_2,tag_13,tag_22,2025-06-01T00:55:00.000Z,,,,899.938,False
measurement_2,tag_12,tag_21,2025-06-01T00:56:00.000Z,,,,925.273,False
measurement_1,tag_13,tag_21,2025-06-01T00:57:00.000Z,929.945,9839.0,hztni,,
measurement_2,tag_12,tag_21,2025-06-01T00:58:00.000Z,,,,679.359,False
measurement_1,tag_11,tag_22,2025-06-01T00:59:00.000Z,955.581,1423.0,phvawuul,,
measurement_2,tag_12,tag_21,2025-06-01T01:00:00.000Z,,,,840.164,False
measurement_1,tag_13,tag_22,2025-06-01T01:01:00.000Z,275.907,4346.0,anwcpyt,,
measurement_1,tag_12,tag_21,2025-06-01T01:02:00.000Z,937.916,8793.0,gvqkzldj,,
measurement_1,tag_11,tag_21,2025-06-01T01:03:00.000Z,803.69,7142.0,pxqaejqevi,,
measurement_1,tag_11,tag_21,2025-06-01T01:04:00.000Z,572.996,3919.0,qmszrs,,
measurement_2,tag_11,tag_21,2025-06-01T01:05:00.000Z,,,,714.216,False
measurement_2,tag_12,tag_21,2025-06-01T01:06:00.000Z,,,,509.232,True
measurement_2,tag_12,tag_22,2025-06-01T01:07:00.000Z,,,,940.318,False
measurement_1,tag_11,tag_22,2025-06-01T01:08:00.000Z,403.796,4890.0,jhotyztzm,,
measurement_2,tag_13,tag_22,2025-06-01T01:09:00.000Z,,,,323.052,False
measurement_1,tag_13,tag_22,2025-06-01T01:10:00.000Z,48.779,3731.0,hiclcn,,
measurement_2,tag_11,tag_22,2025-06-01T01:11:00.000Z,,,,800.024,False
measurement_2,tag_13,tag_21,2025-06-01T01:12:00.000Z,,,,62.693,False
measurement_1,tag_12,tag_21,2025-06-01T01:13:00.000Z,856.669,9318.0,svkep,,
measurement_1,tag_11,tag_22,2025-06-01T01:14:00.000Z,965.998,9069.0,vqjrmyrd,,
measurement_1,tag_13,tag_21,2025-06-01T01:15:00.000Z,355.892,3962.0,vsevhdrns,,
measurement_2,tag_11,tag_21,2025-06-01T01:16:00.000Z,,,,838.839,False
measurement_1,tag_12,tag_22,2025-06-01T01:17:00.000Z,236.373,3774.0,swrejokh,,
measurement_2,tag_13,tag_21,2025-06-01T01:18:00.000Z,,,,948.165,True
measurement_1,tag_11,tag_21,2025-06-01T01:19:00.000Z,294.384,8002.0,fviekcb,,
measurement_1,tag_13,tag_22,2025-06-01T01:20:00.000Z,90.211,3819.0,baqotynk,,
measurement_2,tag_13,tag_22,2025-06-01T01:21:00.000Z,,,,443.248,False
measurement_1,tag_12,tag_21,2025-06-01T01:22:00.000Z,853.557,757.0,cphtm,,
measurement_2,tag_11,tag_22,2025-06-01T01:23:00.000Z,,,,327.647,False
measurement_2,tag_11,tag_22,2025-06-01T01:24:00.000Z,,,,624.956,False
measurement_1,tag_13,tag_21,2025-06-01T01:25:00.000Z,929.689,9520.0,yybvsmneqp,,
measurement_1,tag_13,tag_22,2025-06-01T01:26:00.000Z,276.814,2289.0,bjkzhwhkel,,
measurement_2,tag_11,tag_22,2025-06-01T01:27:00.000Z,,,,288.002,True
measurement_1,tag_13,tag_22,2025-06-01T01:28:00.000Z,192.141,4001.0,wpjsnwbhp,,
measurement_2,tag_11,tag_22,2025-06-01T01:29:00.000Z,,,,829.27,False
