_measurement,tag_1,tag_2,_time,field_11,field_12,field_13,field_21,field_22
measurement_1,tag_12,tag_21,2025-06-01T00:00:00.000Z,591.31,5913.0,yzndvhokfn,,
measurement_2,tag_11,tag_21,2025-06-01T00:01:00.000Z,,,,653.062,True
measurement_1,tag_11,tag_22,2025-06-01T00:02:00.000Z,169.971,1656.0,svxmpaoi,,
measurement_1,tag_11,tag_22,2025-06-01T00:03:00.000Z,199.253,713.0,dhbfclyfvy,,
measurement_1,tag_12,tag_21,2025-06-01T00:04:00.000Z,475.737,3638.0,mqiqlarg,,
measurement_1,tag_13,tag_22,2025-06-01T00:05:00.000Z,333.148,9543.0,bflkkrutl,,
measurement_2,tag_11,tag_21,2025-06-01T00:06:00.000Z,,,,946.715,False
measurement_2,tag_13,tag_21,2025-06-01T00:07:00.000Z,,,,226.251,False
measurement_1,tag_11,tag_21,2025-06-01T00:08:00.000Z,587.418,2361.0,mynfl,,
measurement_1,tag_13,tag_21,2025-06-01T00:09:00.000Z,438.006,5673.0,jxlywpm,,
measurement_2,tag_13,tag_22,2025-06-01T00:10:00.000Z,,,,872.563,False
measurement_2,tag_12,tag_22,2025-06-01T00:11:00.000Z,,,,368.137,False
measurement_2,tag_13,tag_21,2025-06-01T00:12:00.000Z,,,,774.965,False
measurement_1,tag_11,tag_21,2025-06-01T00:13:00.000Z,632.617,1390.0,lcjzwr,,
measurement_2,tag_11,tag_22,2025-06-01T00:14:00.000Z,,,,811.029,False
measurement_1,tag_11,tag_21,2025-06-01T00:15:00.000Z,266.654,3889.0,ylptls,,
measurement_2,tag_11,tag_22,2025-06-01T00:16:00.000Z,,,,556.622,False
measurement_2,tag_11,tag_21,2025-06-01T00:17:00.000Z,,,,816.499,False
measurement_1,tag_12,tag_21,2025-06-01T00:18:00.000Z,869.995,1194.0,tjsmerexdx,,
measurement_2,tag_13,tag_21,2025-06-01T00:19:00.000Z,,,,695.712,False
measurement_2,tag_13,tag_22,2025-06-01T00:20:00.000Z,,,,5.317,True
measurement_1,tag_11,tag_21,2025-06-01T00:21:00.000Z,188.907,7305.0,glytkcwqso,,
measurement_1,tag_12,tag_22,2025-06-01T00:22:00.000Z,879.686,7007.0,qmuetxi,,
measurement_2,tag_11,tag_21,2025-06-01T00:23:00.000Z,,,,744.416,True
measurement_2,tag_11,tag_22,2025-06-01T00:24:00.000Z,,,,246.903,True
measurement_2,tag_13,tag_22,2025-06-01T00:25:00.000Z,,,,882.765,True
measurement_2,tag_11,tag_21,2025-06-01T00:26:00.000Z,,,,594.223,False
measurement_2,tag_11,tag_21,2025-06-01T00:27:00.000Z,,,,543.69,True
measurement_1,tag_12,tag_21,2025-06-01T00:28:00.000Z,348.772,133.0,zlfxz,,
measurement_2,tag_12,tag_22,2025-06-01T00:29:00.000Z,,,,809.271,False
measurement_2,tag_13,tag_22,2025-06-01T00:30:00.000Z,,,,869.428,True
measurement_2,tag_11,tag_21,2025-06-01T00:31:00.000Z,,,,608.925,False
measurement_2,tag_12,tag_22,2025-06-01T00:32:00.000Z,,,,444.385,False
measurement_2,tag_12,tag_22,2025-06-01T00:33:00.000Z,,,,223.743,False
measurement_1,tag_13,tag_21,2025-06-01T00:34:00.000Z,725.318,7082.0,vvwrqzsg,,
measurement_2,tag_13,tag_21,2025-06-01T00:35:00.000Z,,,,983.988,False
measurement_2,tag_11,tag_22,2025-06-01T00:36:00.000Z,,,,652.098,False
measurement_2,tag_13,tag_22,2025-06-01T00:37:00.000Z,,,,307.346,True
measurement_2,tag_11,tag_22,2025-06-01T00:38:00.000Z,,,,813.967,False
measurement_1,tag_12,tag_22,2025-06-01T00:39:00.000Z,754.86,5401.0,laxgg,,
measurement_1,tag_11,tag_22,2025-06-01T00:40:00.000Z,898.452,717.0,grwfsjao,,
measurement_1,tag_13,tag_21,2025-06-01T00:41:00.000Z,443.194,6444.0,wowgigs,,
measurement_1,tag_13,tag_21,2025-06-01T00:42:00.000Z,983.714,6887.0,moqouxpscv,,
measurement_1,tag_12,tag_21,2025-06-01T00:43:00.000Z,423.146,564.0,rjryvbew,,
measurement_2,tag_13,tag_22,2025-06-01T00:44:00.000Z,,,,555.945,True
measurement_1,tag_13,tag_22,2025-06-01T00:45:00.000Z,21.002,207.0,bwdad,,
measurement_2,tag_12,tag_22,2025-06-01T00:46:00.000Z,,,,808.19,True
measurement_2,tag_12,tag_21,2025-06-01T00:47:00.000Z,,,,730.69,True
measurement_1,tag_13,tag_21,2025-06-01T00:48:00.000Z,285.407,1289.0,fqbbhwvy,,
measurement_2,tag_12,tag_22,2025-06-01T00:49:00.000Z,,,,530.698,False
measurement_1,tag_12,tag_21,2025-06-01T00:50:00.000Z,86.452,1426.0,fsdhrk,,
measurement_1,tag_12,tag_21,2025-06-01T00:51:00.000Z,617.138,262.0,zxdfmfz,,
measurement_2,tag_13,tag_22,2025-06-01T00:52:00.000Z,,,,338.193,True
measurement_2,tag_11,tag_22,2025-06-01T00:53:00.000Z,,,,817.073,False
measurement_2,tag_11,tag_22,2025-06-01T00:54:00.000Z,,,,777.209,True
measurement_1,tag_13,tag_21,2025-06-01T00:55:00.000Z,792.117,9863.0,ltpsnvive,,
measurement_2,tag_13,tag_22,2025-06-01T00:56:00.000Z,,,,535.503,True
measurement_1,tag_12,tag_21,2025-06-01T00:57:00.000Z,818.451,4623.0,urhokvdos,,
measurement_2,tag_13,tag_21,2025-06-01T00:58:00.000Z,,,,665.334,True
measurement_2,tag_12,tag_21,2025-06-01T00:59:00.000Z,,,,954.381,False
measurement_2,tag_11,tag_22,2025-06-01T01:00:00.000Z,,,,456.266,False
measurement_2,tag_12,tag_22,2025-06-01T01:01:00.000Z,,,,405.6,False
measurement_1,tag_13,tag_21,2025-06-01T01:02:00.000Z,998.589,4918.0,cqskpgovyr,,
measurement_2,tag_13,tag_22,2025-06-01T01:03:00.000Z,,,,79.456,False
measurement_2,tag_11,tag_22,2025-06-01T01:04:00.000Z,,,,47.935,False
measurement_1,tag_11,tag_22,2025-06-01T01:05:00.000Z,207.696,6705.0,terngfege,,
measurement_2,tag_11,tag_21,2025-06-01T01:06:00.000Z,,,,992.183,True
measurement_2,tag_11,tag_22,2025-06-01T01:07:00.000Z,,,,381.961,True
measurement_2,tag_12,tag_22,2025-06-01T01:08:00.000Z,,,,241.776,True
measurement_1,tag_12,tag_21,2025-06-01T01:09:00.000Z,396.802,2259.0,xqfyrawhum,,
measurement_1,tag_11,tag_22,2025-06-01T01:10:00.000Z,686.863,6550.0,qjvaabmml,,
measurement_2,tag_13,tag_22,2025-06-01T01:11:00.000Z,,,,782.075,True
measurement_1,tag_11,tag_22,2025-06-01T01:12:00.000Z,957.448,2204.0,wqhqv,,
measurement_1,tag_12,tag_22,2025-06-01T01:13:00.000Z,447.391,4411.0,vaoxvtwa,,
measurement_2,tag_12,tag_21,2025-06-01T01:14:00.000Z,,,,112.97,False
measurement_1,tag_12,tag_22,2025-06-01T01:15:00.000Z,983.566,9828.0,fsnvr,,
measurement_2,tag_13,tag_22,2025-06-01T01:16:00.000Z,,,,366.62,False
measurement_1,tag_12,tag_22,2025-06-01T01:17:00.000Z,575.247,2801.0,qbxyyy,,
measurement_2,tag_12,tag_21,2025-06-01T01:18:00.000Z,,,,253.622,True
measurement_2,tag_13,tag_21,2025-06-01T01:19:00.000Z,,,,968.212,False
measurement_2,tag_13,tag_21,2025-06-01T01:20:00.000Z,,,,370.991,True
measurement_2,tag_13,tag_22,2025-06-01T01:21:00.000Z,,,,405.4,False
measurement_2,tag_11,tag_21,2025-06-01T01:22:00.000Z,,,,193.123,True
measurement_1,tag_13,tag_21,2025-06-01T01:23:00.000Z,463.755,7820.0,svvbvhe,,
measurement_2,tag_13,tag_21,2025-06-01T01:24:00.000Z,,,,774.893,False
measurement_1,tag_11,tag_21,2025-06-01T01:25:00.000Z,134.861,7012.0,macuxtszk,,
measurement_2,tag_13,tag_22,2025-06-01T01:26:00.000Z,,,,587.048,True
measurement_1,tag_13,tag_21,2025-06-01T01:27:00.000Z,395.183,6698.0,gwfgzikdb,,
measurement_1,tag_13,tag_22,2025-06-01T01:28:00.000Z,324.082,5466.0,fbegswb,,
measurement_2,tag_12,tag_21,2025-06-01T01:29:00.000Z,,,,127.448,False
measurement_2,tag_12,tag_22,2025-06-01T01:30:00.000Z,,,,201.925,False
measurement_1,tag_12,tag_21,2025-06-01T01:31:00.000Z,372.773,4686.0,izvox,,
measurement_1,tag_13,tag_21,2025-06-01T01:32:00.000Z,476.463,644.0,ytqmwmfei,,
measurement_1,tag_11,tag_22,2025-06-01T01:33:00.000Z,109.965,6332.0,gevculo,,
measurement_2,tag_11,tag_21,2025-06-01T01:34:00.000Z,,,,788.834,True
measurement_2,tag_13,tag_21,2025-06-01T01:35:00.000Z,,,,860.891,True
measurement_2,tag_13,tag_22,2025-06-01T01:36:00.000Z,,,,52.35,False
measurement_1,tag_12,tag_22,2025-06-01T01:37:00.000Z,678.385,4896.0,sglfozp,,
measurement_1,tag_11,tag_21,2025-06-01T01:38:00.000Z,68.944,7624.0,pvvwd,,
measurement_1,tag_11,tag_21,2025-06-01T01:39:00.000Z,208.954,5799.0,sxsouwmuu,,
measurement_1,tag_13,tag_21,2025-06-01T01:40:00.000Z,657.121,2540.0,vvzbp,,
measurement_2,tag_11,tag_22,2025-06-01T01:41:00.000Z,,,,505.931,False
measurement_2,tag_12,tag_22,2025-06-01T01:42:00.000Z,,,,986.875,True
measurement_2,tag_12,tag_22,2025-06-01T01:43:00.000Z,,,,772.005,True
measurement_1,tag_13,tag_22,2025-06-01T01:44:00.000Z,361.852,6058.0,anllvfop,,
measurement_2,tag_11,tag_22,2025-06-01T01:45:00.000Z,,,,966.736,False
measurement_2,tag_13,tag_22,2025-06-01T01:46:00.000Z,,,,346.568,True
measurement_1,tag_12,tag_22,2025-06-01T01:47:00.000Z,282.664,4106.0,zehws,,
measurement_1,tag_13,tag_21,2025-06-01T01:48:00.000Z,922.964,3589.0,tbmsbfbykv,,
measurement_2,tag_13,tag_22,2025-06-01T01:49:00.000Z,,,,239.168,True
measurement_1,tag_11,tag_21,2025-06-01T01:50:00.000Z,215.768,1186.0,chqpaebac,,
measurement_2,tag_11,tag_21,2025-06-01T01:51:00.000Z,,,,109.535,True
measurement_2,tag_12,tag_21,2025-06-01T01:52:00.000Z,,,,448.15,True
measurement_1,tag_12,tag_21,2025-06-01T01:53:00.000Z,455.423,7206.0,igzggiolk,,
measurement_2,tag_12,tag_21,2025-06-01T01:54:00.000Z,,,,161.418,True
measurement_1,tag_12,tag_22,2025-06-01T01:55:00.000Z,592.084,2575.0,mbwmxxekp,,
measurement_1,tag_13,tag_21,2025-06-01T01:56:00.000Z,300.829,708.0,zptxpbow,,
measurement_2,tag_13,tag_22,2025-06-01T01:57:00.000Z,,,,557.095,False
measurement_2,tag_11,tag_22,2025-06-01T01:58:00.000Z,,,,523.302,True
measurement_2,tag_11,tag_21,2025-06-01T01:59:00.000Z,,,,473.797,False
measurement_2,tag_12,tag_21,2025-06-01T02:00:00.000Z,,,,999.541,False
measurement_2,tag_13,tag_22,2025-06-01T02:01:00.000Z,,,,539.291,False
measurement_2,tag_11,tag_21,2025-06-01T02:02:00.000Z,,,,281.286,False
measurement_2,tag_13,tag_21,2025-06-01T02:03:00.000Z,,,,418.821,True
measurement_2,tag_11,tag_22,2025-06-01T02:04:00.000Z,,,,521.477,True
measurement_2,tag_13,tag_21,2025-06-01T02:05:00.000Z,,,,865.254,True
measurement_2,tag_11,tag_21,2025-06-01T02:06:00.000Z,,,,695.159,True
measurement_2,tag_12,tag_22,2025-06-01T02:07:00.000Z,,,,398.581,False
measurement_2,tag_12,tag_21,2025-06-01T02:08:00.000Z,,,,416.946,True
measurement_2,tag_11,tag_21,2025-06-01T02:09:00.000Z,,,,716.781,True
